Term,Definition,used by,contexts used,Related terms,Linked Content,Related Partner,Anticipated Response,Translation (ES),Other suggested terms,Created time,Glossary (PT),Last edited time,Review Status
Cloud API,,,"CM Post-MVP, CoMapeo",,,,,,,"May 29, 2024 5:07 PM",,"May 29, 2024 5:07 PM",Not started
Cloud Sync?,The term we use instead is Remote Archive,,"CM Post-MVP, CoMapeo",,,,,,,"May 23, 2024 2:28 PM",,"July 17, 2025 7:49 PM",Out of date / depreciated
Collaborators,A secondary term that describes devices working on the same project.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"November 25, 2025 8:24 PM",,"November 25, 2025 8:25 PM",Approved
Collecting GPS Sensor Data,,,"CM MVP, CoMapeo",,,,,,,"May 30, 2024 12:46 PM",,"May 30, 2024 1:02 PM",Not started
Collecting Photo Meta Data,,,"CM MVP, CoMapeo",,,,,,,"May 30, 2024 12:46 PM",,"May 30, 2024 1:02 PM",Not started
CoMapeo Settings (formerly App Settings),"A Menu option that opens CoMapeo’s settings which can be adjusted by an individual to fit their preferences and needs for their specific device. This includes units, background maps, and Early Access. These settings are used across all projects on the device, but they do not change the settings of other devices on the same projects.","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"November 25, 2025 8:13 PM",Waiting for approval
Communications,"Work we do to communicate stories, branding or messaging to public or specific audiences",,,,,,,,,"November 27, 2023 6:21 PM",,"January 8, 2024 5:39 PM",Not started
community,,"funders, international partners, non-profits, social movements",programs management,partner (https://www.notion.so/partner-9d93734086d0492685e4522b04eed7e3?pvs=21),,,,,,"December 14, 2022 1:21 PM",,"July 12, 2023 3:58 PM",Not started
Community Engagement,,,,,,,,,,"November 27, 2023 7:35 PM",,"January 8, 2024 5:36 PM",Not started
community or local(?) partners,"How do we call groups that are using Mapeo and with which we had a small relation? e.g. maybe one or two calls, or maybe just sending links to materials…",,programs management,"partner (https://www.notion.so/partner-9d93734086d0492685e4522b04eed7e3?pvs=21), partnership (https://www.notion.so/partnership-ff7ec64636cb443bb4520cf8653828b9?pvs=21)",,,,,,"December 8, 2022 12:15 PM",,"January 8, 2024 5:37 PM",Not started
Configuration,,Design and Development team,MAPEO,,,,,,,"May 30, 2024 1:01 PM",,"July 17, 2025 7:47 PM",Not started
Connected,A state when CoMapeo has detected nearby devices that are on the same project and same router (or over the internet).,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
Coordinator,The role of a device with permission to adjust the settings of a project and/or invite devices to that project.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"November 25, 2025 8:27 PM",Approved
Coordinator Tools (formerly Project Settings),"The screen where coordinators can adjust a project’s Info, Categories Set, Remote Archive connection, and Project Stats sharing preferences.","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"November 25, 2025 8:25 PM",Waiting for approval
Current Location,A Map UI element that indicates the device’s current location on the map.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
Current Project Card,A Menu UI element that indicates the current project being displayed in the main area of the app.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
data,It refers to information in digital form that can be transmitted or processed.,Design and Development team,"presentations, public - universal, training",,https://docs.mapeo.app/complete-reference-guide/glossary-and-quick-reference-sheets/glossary-of-mapeo-related-terms#data,,,,,"January 19, 2023 3:48 PM",,"April 26, 2024 9:43 AM",Not started
Data & Privacy,An umbrella term that encompasses the span of our policies around gathering device and usage metric measurements.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
"Data Continuity ","Data continuity is the ability to maintain the availability, integrity, and usability of data across different systems, platforms, and environments.",app users,"CM MVP, CoMapeo, Dev, QA, public - universal, training",Release (https://www.notion.so/Release-7294b9eac1c44b059f499ea8abca2863?pvs=21),,,,,,"May 14, 2024 12:32 PM",,"July 17, 2025 7:43 PM",Not started
debug,things that are not working in software. Fun way to explain software things not working in a jungle context.,Design and Development team,,bug (https://www.notion.so/bug-c91cf3d355144e9eb2c94fce9daab335?pvs=21),,,,,,"October 8, 2020 3:23 PM",,"May 19, 2025 7:34 PM",Not started
deep accompaniment partners,"• Very meaningful and strong relationships (which include agreements, accountability structures, etc.) that have been influencing DD’s work and path and/or we want them to do so in the near future.
    ◦ Examples: Alianza Ceibo, Amazon Frontlines, PUINAMUDT’s federations, ECA Amarakaeri, Luis Tayori, CIPDP, Ohneganos, Engajamundu, Univaja, (please add)",,programs management,"partnership (https://www.notion.so/partnership-ff7ec64636cb443bb4520cf8653828b9?pvs=21), partner (https://www.notion.so/partner-9d93734086d0492685e4522b04eed7e3?pvs=21), local partner (https://www.notion.so/local-partner-3b536f9ab72e4f839fd31bcacadffc37?pvs=21)",,,,,,"December 8, 2022 12:10 PM",,"January 8, 2024 5:40 PM",Not started
deliverable,"A distinct item, outcome, work product related to impact that our team has produced, which we are either specifically accountable to a partner or funder for, OR that in aggregate describes our impact …

Examples include:
-  publications or report
- an event where X number of people were trained","Awana Digital, funders","funder reporting, grant, org onboarding",,,,,,,"July 27, 2023 8:23 PM",,"April 26, 2024 9:45 AM",Not started
Details,"A set of customizable fields attached to a Category, and pre-defined by Project Coordinators, that help Participants gather distinct specifics about an Observation.","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"November 25, 2025 8:26 PM",Approved
Dev Build,An internal build created by the app dev team during local development,"Design and Development team, Internal only","Dev, QA, internal only","Release Build (https://www.notion.so/Release-Build-19d1b08162d580669441fc61196bb2d0?pvs=21), Release Candidate Build (https://www.notion.so/Release-Candidate-Build-19d1b08162d580f9bba7e6537a1b46ee?pvs=21), Internal Build (https://www.notion.so/Internal-Build-19d1b08162d580689ae8d7e64c4b21d0?pvs=21), Dev Build (https://www.notion.so/Dev-Build-e33b14ebd37941c0b30f8ec0151ba23c?pvs=21), Release (https://www.notion.so/Release-7294b9eac1c44b059f499ea8abca2863?pvs=21)",,,,,,"May 14, 2024 12:22 PM",,"July 17, 2025 7:43 PM",Not started
Device,The supported hardware on which CoMapeo is installed and being used.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"November 25, 2025 8:26 PM",Approved
Device Data (Metrics),"Data measurements about a device gathered with consent by Awana Digital/CoMapeo, specifically [model type, etc.]","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
Diagnostics,"Anonymized digital information about a device, app crashes, errors and performance that is shared with Awana Digital. People using CoMapeo can opt-out of sharing this information at any time. This diagnostic information is completely anonymized and it never contains any of our users’ data (the data you have collected with CoMapeo). Diagnostic information does not include data about how users use the app, and it never includes any of the data users have collected with the app. Awana Digital does not collect users’ precise or coarse location, only the country where they are using CoMapeo.","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
Disk and Media Management,,,"CM Post-MVP, CoMapeo",,,,,,,"May 20, 2024 5:52 PM",,"May 29, 2024 5:04 PM",Not started
donors,,,programs management,,,,,,,"December 8, 2022 12:13 PM",,"July 12, 2023 3:58 PM",Not started
Early Access,"Currently… Early Access is a term we use to describe the MVP and pre-Named Release stages of CoMapeo Mobile and Desktop which are still under development even if available to try and use.

Coming Soon… Early Access will be an actual opt-in / opt-out feature that allows intermediate and advanced tech users to try out new features currently available for field testing. Devices on the same project might not all be using Early Access and CoMapeo helps facilitate this among participants within a Project.","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"November 25, 2025 8:18 PM",Waiting for approval
ECA-RCA,ECA Amarakaeri,"Core team, field teams, international partners, local partners, technical accompaniment","ACRONYM, external but private, formal correspondence, grant, prioritizing",,"ECA Amarakaeri (https://www.notion.so/ECA-Amarakaeri-ef016faa598e47438daf2fdb5257fbc6?pvs=21) ",,,,,"August 18, 2020 3:20 PM",,"June 12, 2024 6:20 PM",Not started
EDT,Earth Defenders Toolkit,"Core team, Design and Development team, Internal only","ACRONYM, internal only",,"Earth Defenders Toolkit (https://www.notion.so/Earth-Defenders-Toolkit-8b3d6c98a0e4442da34905d281f2095c?pvs=21) ",,,,,"August 18, 2020 3:42 PM",,"April 26, 2024 9:45 AM",Not started
engagement support,,,,,,,,,,"November 27, 2023 6:22 PM",,"January 8, 2024 5:36 PM",Not started
event,a planned activity (https://www.notion.so/activity-51cc0ee6d21843118f740128c8972694?pvs=21) on specific dates with intended guests,"comms, operations","programs management, public - universal","trip (https://www.notion.so/trip-2f7f1a35260640e6a3fb52985cb680ee?pvs=21), training (https://www.notion.so/training-774e7435d931462698b3d9885e2c34b0?pvs=21), gathering (https://www.notion.so/gathering-bd6a09f850844aa3b996cd3443f0b443?pvs=21), meeting (https://www.notion.so/meeting-561e53c448624c5bb36bf535d9dd1737?pvs=21), workshop (https://www.notion.so/workshop-c472bdd77b13404394f326999a7f41ac?pvs=21)",,,,,,"December 2, 2022 9:23 AM",,"July 12, 2023 3:58 PM",Not started
Exchange,"A Menu option that open Exchange, a feature that enables devices connected to the same router (or over the internet) to easily mutually share new Observations onto each other’s devices.","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
Export,A feature that enables a person using CoMapeo to download and move Observation data outside of the app.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
Feature flag,"Feature flags are a software development concept that allows to enable or disable a feature without modifying the source code or requiring a redeploy. On Mapeo, features under this flag were found under “Experiments” in the Settings","Design and Development team, app users",CoMapeo,,,,,,,"June 13, 2024 2:10 PM",,"June 13, 2024 2:47 PM",Not started
Fieldwork,,,,,,,,,,"November 27, 2023 6:21 PM",,"January 8, 2024 5:36 PM",Not started
Fixes,"Or bugfixes. A bugfix is a change made to software to correct a fault or issue, also known as a software bug.",Design and Development team,"Dev, public - universal",bug (https://www.notion.so/bug-c91cf3d355144e9eb2c94fce9daab335?pvs=21),,,,,,"May 14, 2024 3:29 PM",,"July 17, 2025 7:43 PM",Not started
funder,"A foundation which we have applied to for a grant or have that potential. Separate from paid contract work we might do for an institutional or local partner. Separate from individual donors. Might be restricted to a particular project or unrestricted. Probably requires reporting (ie. we are accountable to them), narrative and financial.",,programs management,,,,,,,"December 2, 2022 9:29 AM",,"July 12, 2023 3:59 PM",Not started
funder relations,,,,,,,,,,"November 27, 2023 7:35 PM",,"January 8, 2024 5:36 PM",Not started
Fundraising,,,,,,,,,,"November 27, 2023 6:21 PM",,"January 8, 2024 5:36 PM",Not started
gathering,,international partners,public - universal,event (https://www.notion.so/event-855112ff14f443fbbb7bca87004cddba?pvs=21),,,,,,"December 7, 2022 1:42 PM",,"July 12, 2023 3:59 PM",Not started
Go to Current Location,A Map UI element that centers the map on the device’s current location when tapped.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"November 25, 2025 8:34 PM",Approved
GPS Accuracy,A Map UI element that indicates GPS accuracy in a specified measurement.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
graphic design,,,,,,,,,,"November 27, 2023 6:32 PM",,"January 8, 2024 5:36 PM",Not started
Hiring,,,,,,,,,,"November 27, 2023 6:22 PM",,"January 8, 2024 5:36 PM",Not started
Hotfix Release,for addressing an urgent issue that cannot wait until the next scheduled release or a QA cycle.,Design and Development team,Dev,,,,,,,"February 17, 2025 6:56 PM",,"July 17, 2025 7:43 PM",Not started
immersive learning,,,,,,,,,,"November 27, 2023 6:23 PM",,"January 8, 2024 5:36 PM",Not started
Individual Community Ally,"They are individuals who work closely with communities but are not a part of them, but we value their feedback on our visioning exercise and outcomes. Examples: Martí Orta,",,programs management,,,,,,,"December 8, 2022 12:19 PM",,"July 12, 2023 3:59 PM",Not started
initiative,,,programs management,,,,,,,"December 8, 2022 12:12 PM",,"July 12, 2023 3:59 PM",Not started
Inquiry,"An individual or institution that has reached out wanting an intro conversation, training/presentation or possible technical accompaniment",Core team,programs management,process (https://www.notion.so/process-6d66fefb47db49dabc7b2f349eeca1e0?pvs=21),,,,,,"December 2, 2022 9:31 AM",,"April 26, 2024 9:43 AM",Not started
institutional partner,"An organization we work and collaborate with, possibly for funding applications, for tech work, for local partner work. Perhaps most organizations other than local partner orgs and funders would fall here (although there might also be overlaps, a partner could be institutional and funder). eg. Amazon Frontlines, Mapbox, Nia Tero",,programs management,"partner (https://www.notion.so/partner-9d93734086d0492685e4522b04eed7e3?pvs=21), partnership (https://www.notion.so/partnership-ff7ec64636cb443bb4520cf8653828b9?pvs=21)",,,,,,"December 2, 2022 9:29 AM",,"July 12, 2023 3:59 PM",Not started
Institutional relationship,"Example: WRI, Colab,",,programs management,partner (https://www.notion.so/partner-9d93734086d0492685e4522b04eed7e3?pvs=21),,,,,,"December 8, 2022 1:13 PM",,"July 12, 2023 3:59 PM",Not started
Internal Build,"Used for testing a specific feature or bug fix, but not intended for release. ",Design and Development team,Dev,Dev Build (https://www.notion.so/Dev-Build-e33b14ebd37941c0b30f8ec0151ba23c?pvs=21),,,,,,"February 17, 2025 6:51 PM",,"July 17, 2025 7:43 PM",Not started
Intro Screens MVP,Introduction screens at app onboarding with a mandatory prompt for the users to name their device.,,"CM MVP, CoMapeo",,,,,,,"May 20, 2024 5:50 PM",,"May 30, 2024 1:01 PM",Not started
ISS,ISS Erasmus University Rotterdam,"Core team, developers (external), field teams, funders, international partners, local partners, technical accompaniment","ACRONYM, public - universal",,"ISS (https://www.notion.so/ISS-09e3ba9373044a5aa6457894103107d7?pvs=21) ",,,,,"August 18, 2020 1:36 PM",,"April 26, 2024 9:50 AM",Not started
Issues,"Issues are problems or challenges that affect the quality of a product. This includes bugs but also involve feature requests, improvements, or other concerns.","Core team, Design and Development team","Dev, MAPEO issue, QA",bug (https://www.notion.so/bug-c91cf3d355144e9eb2c94fce9daab335?pvs=21),,,,,,"May 14, 2024 3:29 PM",,"July 17, 2025 7:43 PM",Not started
"L2G ","“Local to global” is work we to for public or conference presentations. it includes networking. see Local to Global Engagement (https://www.notion.so/Local-to-Global-Engagement-128ca5ad1ad546fdb5cd307fe8b7e418?pvs=21) ",Awana Digital,"ACRONYM, internal only",,,,,,,"November 27, 2023 6:22 PM",,"April 26, 2024 9:45 AM",Not started
Local partner,"They are groups or individuals that are members of communities (or have strong and meaningful ties with them) with whom we have a certain type of collaboration. These groups may include community-based groups and individuals and trusted not-community organizations & members doing work in the place in close collaboration with communities. In the case of organizations that include non-community members (e.g. PUINAMUDT advisors, Amazon Frontlines, etc.), our decisions are informed and respectful of the considerations and practices of local communities towards these members. “Do they consider them fully included?”, “Which aspects are accessible to them?”, “Are they involved in decision making?”, etc.",,programs management,partner (https://www.notion.so/partner-9d93734086d0492685e4522b04eed7e3?pvs=21),,,,,,"December 8, 2022 1:01 PM",,"July 12, 2023 3:59 PM",Not started
local partner,A group or individual doing direct (implementation?) work to whom we are providing in-person or remote support,Core team,programs management,"partner (https://www.notion.so/partner-9d93734086d0492685e4522b04eed7e3?pvs=21), partnership (https://www.notion.so/partnership-ff7ec64636cb443bb4520cf8653828b9?pvs=21), deep accompaniment partners (https://www.notion.so/deep-accompaniment-partners-2d87fd6e497042bda88982aaca15cf38?pvs=21), Local temporal collaborators (or institutional relationships?) (https://www.notion.so/Local-temporal-collaborators-or-institutional-relationships-f73e573a98f14328878c04ebac5e9232?pvs=21)",,,,"contraparte (https://www.notion.so/contraparte-6111a43f9d644f8985e3f7a54cb21449?pvs=21), Untitled (https://www.notion.so/2331b08162d580a0af55cedba661f39e?pvs=21)",,"December 2, 2022 9:23 AM",,"April 26, 2024 9:43 AM",Not started
Local temporal collaborators (or institutional relationships?),"• Less strong, long or deep relationships than core local partnerships, which have (or we want them to have) less influence on our visioning than core local partnerships.
    ◦ Examples: Panama PNUD, FUNBOSQUE, Nación Achuar, Wapichan, Iepé, (please add)",,programs management,"partner (https://www.notion.so/partner-9d93734086d0492685e4522b04eed7e3?pvs=21), local partner (https://www.notion.so/local-partner-3b536f9ab72e4f839fd31bcacadffc37?pvs=21)",,,,,,"December 8, 2022 12:14 PM",,"July 12, 2023 4:00 PM",Not started
Lodging,"Accommodations, hotels, hostels, camping fees",finance,expensing,partner (https://www.notion.so/partner-9d93734086d0492685e4522b04eed7e3?pvs=21),,,,,,"January 17, 2023 1:33 PM",,"July 12, 2023 4:00 PM",Not started
logistics,,,,,,,,,,"November 27, 2023 7:50 PM",,"January 8, 2024 5:36 PM",Not started
Major Version,"Backwards compatible, scheduled release. Indicates the addition of new features, improvements and bug fixes.  ",Design and Development team,,,,,,,,"May 19, 2025 7:21 PM",,"May 19, 2025 7:28 PM",Not started
